t,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7
3.600,54.207,54.708,181.225,55.060,54.376,55.537,55.021,55.058,54.512,54.585,54.800,18.493,54.169,54.711
3.605,54.465,54.158,181.159,54.576,55.011,54.939,54.562,54.626,54.353,55.083,55.154,18.493,54.437,54.378
3.610,54.472,54.552,181.293,54.874,54.995,0.000,54.915,55.199,55.174,54.511,54.710,18.493,54.601,54.485
3.615,54.142,54.725,181.265,54.993,54.540,0.000,55.160,54.814,54.838,54.847,54.742,18.493,54.749,54.640
3.620,55.762,56.618,181.272,55.928,56.099,56.776,56.413,56.254,56.133,56.666,56.288,45.483,55.702,56.226
3.625,55.762,56.299,181.211,56.665,56.661,56.732,56.445,56.410,56.092,56.017,56.552,45.483,56.481,56.126
3.630,56.094,56.194,181.126,56.691,56.284,56.401,56.266,55.966,56.902,56.352,55.832,45.483,56.652,56.715
3.635,56.702,56.087,181.113,55.850,56.471,56.815,55.937,56.081,56.404,56.325,56.175,45.483,55.891,56.116
3.640,58.360,57.850,181.213,57.741,58.071,0.000,58.140,57.830,57.848,58.383,58.529,305.074,58.161,57.462
3.645,57.539,57.681,181.163,57.630,57.836,57.953,58.001,58.179,57.351,57.594,57.949,305.074,58.071,58.129
3.650,57.706,58.060,181.272,57.441,57.764,57.655,57.801,57.809,57.799,57.466,57.735,305.074,57.430,57.973
3.655,57.430,57.671,181.244,57.651,58.051,58.343,57.829,57.559,58.241,57.506,58.244,305.074,57.788,58.289
3.660,58.957,59.646,181.200,58.962,59.934,59.448,59.618,59.663,59.089,59.397,59.496,185.796,59.218,59.689
3.665,59.422,59.245,181.209,59.717,59.204,59.944,59.215,59.481,60.012,59.519,59.594,185.796,59.458,59.143
3.670,59.456,58.989,181.246,59.597,59.751,59.742,59.530,59.525,59.469,59.433,60.040,185.796,59.514,59.193
3.675,59.250,59.000,181.122,58.988,59.087,60.109,59.625,59.000,59.016,59.385,59.852,185.796,59.526,59.763
3.680,61.265,61.357,181.211,60.667,61.009,60.770,61.321,60.778,61.323,60.754,61.129,146.731,60.982,61.108
3.685,60.974,60.902,181.117,61.343,60.597,61.181,60.664,61.121,60.683,61.096,61.254,146.731,60.655,61.851
3.690,61.400,60.929,181.221,60.959,61.097,61.040,60.656,60.508,61.452,60.929,61.576,146.731,61.014,61.024
3.695,60.921,61.854,181.228,61.520,61.386,61.338,61.123,61.378,61.022,60.933,61.661,146.731,61.302,61.340
3.700,62.993,62.386,181.129,62.610,62.723,63.150,62.730,62.760,63.191,62.195,62.617,141.610,62.962,62.474
3.705,62.675,62.731,181.093,62.667,62.925,62.649,62.965,62.318,62.969,62.455,62.232,141.610,63.019,62.946
3.710,62.773,62.326,181.080,62.806,62.519,62.576,62.562,62.607,62.996,62.850,62.792,141.610,62.702,62.847
3.715,62.922,62.551,181.191,62.461,62.902,62.403,62.782,62.622,62.974,63.083,62.816,141.610,62.717,62.532
3.720,64.026,64.594,181.140,64.343,64.572,65.064,64.628,64.154,64.773,64.702,64.626,99.609,64.040,64.643
3.725,64.204,64.341,181.251,64.574,64.392,0.000,64.288,64.771,64.664,64.521,64.644,99.609,64.732,64.207
3.730,64.405,65.011,181.242,65.221,64.458,64.794,64.582,64.318,64.509,64.152,64.258,99.609,64.587,64.021
3.735,64.343,64.147,181.225,64.367,64.022,64.372,64.867,64.530,64.415,64.436,64.883,99.609,65.025,64.070
3.740,66.221,65.940,181.244,66.252,65.922,66.023,66.415,66.711,66.583,66.446,66.492,292.620,66.194,66.143
3.745,65.901,65.723,181.231,65.862,65.943,66.079,66.210,66.351,65.686,66.425,65.660,292.620,66.374,66.448
3.750,65.745,66.156,181.197,66.108,66.456,66.060,66.442,65.797,65.954,66.565,66.138,292.620,66.256,66.479
3.755,66.111,65.915,181.123,65.887,66.162,66.197,66.307,66.183,66.195,66.066,66.417,292.620,66.244,66.346
3.760,67.971,67.848,181.228,67.637,67.886,67.994,68.252,68.002,67.688,68.126,67.881,43.734,67.490,68.242
3.765,67.643,67.644,181.259,67.659,68.111,68.037,68.070,67.255,67.609,68.193,67.778,43.734,68.292,67.894
3.770,68.249,68.030,181.188,67.576,68.594,68.027,67.894,67.581,68.442,68.375,68.152,43.734,67.320,67.735
3.775,68.093,67.694,181.233,68.183,68.323,67.742,67.667,67.922,68.351,67.987,67.727,43.734,68.015,68.151
3.780,69.904,69.683,181.275,69.863,70.009,69.644,69.665,69.091,69.900,69.667,68.657,241.184,69.496,69.579
3.785,69.885,69.619,181.201,69.201,69.415,70.158,69.361,69.920,69.502,69.630,69.502,241.184,69.710,69.296
3.790,69.394,69.430,181.111,70.056,69.910,69.080,69.475,70.196,69.530,69.397,69.698,241.184,69.678,69.253
3.795,70.291,69.660,181.202,69.807,69.334,69.751,69.672,69.619,69.181,69.565,69.598,241.184,69.720,69.784
3.800,71.225,71.440,181.252,71.355,71.740,71.203,71.946,71.414,71.463,71.119,71.742,45.920,71.275,71.593
3.805,71.555,71.600,181.208,71.097,70.832,71.046,71.150,71.212,71.279,71.612,71.695,45.920,72.003,71.429
3.810,71.662,70.841,181.203,71.486,71.524,71.530,71.362,71.529,71.894,71.772,71.507,45.920,72.150,70.992
3.815,71.547,71.895,181.163,71.572,70.837,71.489,71.078,71.952,71.635,71.372,71.347,45.920,71.542,71.510
3.820,73.307,73.284,181.141,72.826,73.350,73.135,73.507,73.314,73.041,73.144,73.531,114.176,73.978,73.002
3.825,73.010,73.376,181.184,72.760,73.118,73.179,73.288,73.460,73.414,73.268,73.057,114.176,73.488,73.180
3.830,73.136,73.408,181.185,73.632,73.480,73.454,73.565,73.186,73.419,73.517,73.571,114.176,73.484,73.701
3.835,73.267,72.831,181.270,72.979,73.341,73.031,73.486,73.671,73.037,73.380,73.304,114.176,73.385,73.719
3.840,75.468,75.289,181.227,75.172,74.747,75.406,75.102,75.137,75.373,75.218,75.620,77.260,75.292,75.604
3.845,74.881,75.156,181.246,74.875,74.748,74.912,74.923,75.031,75.100,74.957,75.291,77.260,74.256,74.607
3.850,75.287,74.918,181.241,74.881,74.783,75.018,75.122,75.098,75.138,75.056,74.730,77.260,74.922,74.972
3.855,75.214,75.316,181.219,75.404,75.365,74.763,75.127,75.518,75.305,75.580,75.589,77.260,74.704,75.268
3.860,76.944,76.824,181.155,76.669,76.856,77.155,76.757,76.774,76.865,76.737,76.844,242.451,76.887,76.959
3.865,76.755,76.596,181.224,77.404,76.997,77.077,77.777,76.493,77.007,76.774,76.896,242.451,76.790,77.014
3.870,76.880,77.169,181.302,77.119,76.701,76.829,77.416,76.992,76.790,77.178,76.895,242.451,76.830,76.569
3.875,76.405,77.140,181.205,77.552,76.816,76.815,76.580,77.020,76.582,76.582,77.135,242.451,76.546,77.195
3.880,78.804,78.850,181.168,78.756,79.071,78.961,79.249,78.714,78.376,79.010,78.493,161.717,78.378,78.599
3.885,78.871,78.710,181.203,78.730,78.536,78.746,78.657,78.381,78.625,79.223,78.403,161.717,78.368,78.732
3.890,78.620,79.234,181.224,78.738,79.216,78.908,78.899,78.587,78.182,78.946,78.616,161.717,78.786,78.533
3.895,78.935,78.577,181.187,78.871,79.075,0.000,78.531,78.643,78.252,79.276,78.109,161.717,79.238,78.608
3.900,80.730,80.676,181.198,81.111,80.537,81.131,80.745,80.377,80.224,80.680,80.532,89.797,80.816,80.646
3.905,80.419,80.556,181.127,80.266,80.421,80.546,80.459,80.788,80.619,80.880,80.805,89.797,80.531,80.838
3.910,80.889,80.552,181.187,81.222,80.814,80.647,80.462,80.703,81.109,80.056,80.207,89.797,80.916,80.476
3.915,80.479,80.755,181.136,80.712,79.939,80.528,81.340,80.571,81.152,80.301,80.910,89.797,80.242,80.991
3.920,83.229,82.182,181.239,82.368,82.179,82.510,82.295,82.474,82.411,82.817,82.763,230.466,82.785,82.484
3.925,82.198,82.630,181.277,82.353,82.710,82.110,82.255,82.319,82.641,81.902,82.551,230.466,82.348,82.278
3.930,82.264,82.561,181.185,82.787,82.908,82.221,83.149,82.519,82.548,82.489,82.781,230.466,82.948,82.707
3.935,82.316,82.377,181.196,82.691,82.253,82.869,82.120,82.292,82.319,82.519,82.570,230.466,82.099,82.639
3.940,84.452,84.134,181.113,84.580,84.082,84.676,84.570,84.673,84.129,84.248,84.413,70.106,84.670,84.049
3.945,84.728,83.938,181.310,84.445,84.457,84.577,84.892,84.224,84.775,85.015,84.182,70.106,84.361,84.792
3.950,84.408,84.379,181.135,84.768,84.249,84.028,84.845,84.291,84.746,83.940,84.411,70.106,84.572,84.372
3.955,84.260,84.864,181.240,84.492,84.583,84.396,84.255,84.155,84.066,84.071,83.747,70.106,84.365,84.146
3.960,86.829,86.042,181.210,86.108,85.899,86.200,86.027,86.257,86.237,85.921,87.019,165.852,85.797,85.862
3.965,86.565,85.952,181.202,86.377,86.283,85.898,86.400,86.444,86.084,86.342,85.982,165.852,85.700,86.675
3.970,86.175,86.029,181.136,86.311,86.026,86.223,86.482,86.598,85.655,86.449,86.212,165.852,85.721,86.381
3.975,86.224,86.313,181.190,86.304,86.309,86.550,85.956,86.682,85.766,85.780,86.211,165.852,86.516,86.424
3.980,87.681,88.265,181.180,88.495,88.440,87.755,87.855,88.621,88.475,87.781,88.265,35.649,88.121,87.776
3.985,88.151,88.222,181.186,88.193,88.496,88.256,87.745,88.389,88.126,88.166,88.164,35.649,88.640,88.508
3.990,88.655,88.100,181.168,87.762,88.249,88.054,87.936,88.181,88.339,87.810,88.085,35.649,88.015,88.084
3.995,87.789,87.746,181.168,87.686,88.238,87.971,88.136,88.421,88.487,88.065,87.683,35.649,88.302,88.046
4.000,89.598,90.309,181.235,89.730,90.441,89.812,89.526,90.007,90.115,89.344,89.939,186.019,89.767,90.015
4.005,90.062,89.900,181.247,89.638,89.612,89.983,89.846,90.429,90.216,90.283,89.875,186.019,89.939,89.566
4.010,89.304,90.119,181.166,89.834,89.970,89.932,89.849,90.173,89.590,90.421,89.655,186.019,89.902,89.652
4.015,90.437,90.027,181.135,89.870,90.477,89.833,90.222,89.808,89.648,90.033,89.795,186.019,89.947,89.775
4.020,91.451,91.887,181.240,92.404,91.776,91.687,91.501,91.966,91.672,92.098,91.802,36.729,91.961,92.273
4.025,91.686,92.130,181.223,92.094,91.897,91.421,91.844,91.325,91.959,91.581,91.579,36.729,91.844,91.996
4.030,91.854,91.930,181.176,92.281,91.572,91.709,92.375,91.703,92.042,92.018,91.994,36.729,92.417,92.216
4.035,92.260,92.515,181.305,91.907,92.106,91.530,91.937,92.158,91.862,92.344,92.367,36.729,92.383,92.251
4.040,93.900,94.213,181.208,93.696,93.706,93.861,93.919,93.977,93.562,93.142,93.372,254.392,93.532,93.700
4.045,93.211,94.045,181.104,93.244,94.102,93.587,93.552,93.577,93.692,93.709,94.299,254.392,94.089,93.380
4.050,93.272,93.692,181.275,93.633,93.762,93.555,94.305,93.589,93.553,94.028,94.114,254.392,93.521,93.588
4.055,93.838,94.018,181.180,93.990,93.639,93.738,93.484,94.182,93.776,93.834,93.698,254.392,94.304,93.694
4.060,95.026,95.759,181.239,95.353,95.352,95.807,95.537,95.610,95.796,95.854,95.175,78.987,95.867,95.729
4.065,95.564,95.872,181.203,95.985,95.287,96.066,95.629,95.624,95.343,95.308,95.009,78.987,95.797,95.644
4.070,95.403,95.680,181.254,95.892,95.721,96.266,95.722,95.838,95.665,95.897,96.040,78.987,95.622,95.273
4.075,95.889,95.350,181.135,95.648,95.244,95.795,95.597,95.131,95.912,96.313,95.657,78.987,95.168,95.667
4.080,97.882,97.241,181.140,97.506,97.499,97.704,97.245,97.656,97.741,97.712,97.704,224.929,97.855,97.506
4.085,96.766,97.510,181.189,97.941,97.429,97.740,97.584,97.230,97.724,97.521,97.737,224.929,97.593,97.437
4.090,97.648,97.789,181.233,97.408,97.541,0.000,98.343,97.339,96.943,97.587,96.899,224.929,97.613,97.515
4.095,97.710,97.509,181.208,97.404,97.795,97.689,97.398,97.562,97.258,97.871,97.467,224.929,97.183,97.842
4.100,99.153,99.217,181.237,99.281,99.028,99.653,99.639,99.418,99.779,99.666,99.191,57.835,99.078,99.989
4.105,99.202,99.343,181.234,98.959,98.868,99.665,99.942,99.429,99.682,99.264,99.420,57.835,99.358,99.016
4.110,99.021,99.597,181.226,99.253,99.414,99.099,98.971,99.215,98.762,99.136,99.567,57.835,99.344,99.370
4.115,99.276,99.252,181.325,99.041,99.187,99.197,99.112,99.759,99.118,99.327,99.286,57.835,99.510,99.113
4.120,101.358,101.097,181.237,101.577,101.328,101.195,101.292,101.398,100.976,101.365,101.745,207.802,100.891,100.823
4.125,101.637,101.285,181.240,101.235,101.177,101.404,101.584,100.608,101.263,101.541,101.134,207.802,101.483,101.289
4.130,101.666,101.450,181.206,100.751,101.352,100.587,101.222,101.689,101.556,101.084,101.836,207.802,100.931,100.818
4.135,101.149,100.890,181.206,101.613,101.063,101.283,101.364,101.033,100.755,100.921,101.457,207.802,101.176,100.923
4.140,102.830,102.981,181.211,102.939,102.954,103.169,102.944,103.217,103.272,103.062,103.422,341.708,103.404,103.336
4.145,103.378,103.094,181.257,102.937,103.064,103.712,103.535,102.171,103.091,103.447,103.238,341.708,102.944,102.719
4.150,102.250,102.967,181.178,102.947,103.068,102.578,103.098,102.830,102.947,102.746,102.859,341.708,103.227,102.960
4.155,102.657,103.251,181.126,102.714,103.908,102.967,103.488,102.430,103.044,103.094,102.216,341.708,103.136,102.568
4.160,105.103,105.184,181.244,104.810,104.982,104.696,105.179,104.430,104.972,105.178,104.692,152.334,104.861,104.645
4.165,105.578,104.706,181.212,105.085,104.516,105.347,104.609,104.949,105.091,105.741,104.875,152.334,105.344,105.029
4.170,104.675,105.650,181.217,104.508,105.136,104.913,104.826,105.056,104.990,105.146,104.338,152.334,104.875,105.027
4.175,104.940,105.047,181.200,104.844,104.899,105.559,104.682,104.781,105.190,104.099,105.164,152.334,105.174,105.515
4.180,106.393,107.223,181.262,106.524,106.914,106.433,106.542,106.828,106.810,106.697,106.651,303.172,106.717,106.289
4.185,106.706,106.975,181.188,106.889,107.068,106.860,107.069,107.026,106.472,106.728,106.145,303.172,107.224,107.104
4.190,106.705,106.202,181.313,106.724,106.497,107.049,106.514,106.309,106.586,106.939,106.813,303.172,106.756,106.882
4.195,106.502,106.369,181.177,106.005,107.008,106.950,106.803,107.188,106.789,106.990,106.769,303.172,106.625,106.311
4.200,108.648,108.629,181.156,108.658,108.266,109.212,108.173,108.343,108.603,108.834,108.442,115.345,108.012,108.781
4.205,108.480,108.706,181.172,108.729,108.850,0.000,108.558,108.663,108.704,108.131,108.449,115.345,108.528,108.927
4.210,108.683,108.733,181.338,108.203,108.094,108.316,108.578,109.007,108.609,108.815,108.651,115.345,108.253,108.463
4.215,108.471,107.959,181.278,108.365,108.643,108.808,108.969,107.966,108.719,108.883,108.199,115.345,108.399,108.428
4.220,109.954,110.141,181.297,110.234,110.331,110.541,110.552,109.969,110.213,110.897,110.411,59.650,110.263,110.582
4.225,110.358,110.475,181.232,110.200,110.235,110.063,110.116,110.371,110.399,110.520,109.985,59.650,110.476,110.099
4.230,110.574,110.713,181.183,110.087,110.184,110.057,110.101,110.721,110.065,109.976,110.579,59.650,110.790,110.563
4.235,110.081,110.489,181.164,110.834,110.350,110.087,110.248,110.537,110.117,110.630,110.126,59.650,109.912,110.160
4.240,112.483,111.680,181.275,111.925,111.990,112.100,111.857,111.677,111.879,112.534,112.103,219.850,112.213,112.809
4.245,112.217,111.929,181.123,112.003,112.639,112.091,112.008,111.830,111.913,111.736,111.727,219.850,112.303,112.311
4.250,111.974,111.994,181.242,112.062,112.169,112.256,112.113,112.216,111.802,112.103,112.361,219.850,112.017,112.103
4.255,112.093,111.966,181.273,112.071,111.969,111.389,112.250,112.180,112.049,111.728,111.848,219.850,111.562,111.992
4.260,113.698,114.145,181.151,114.370,113.590,114.095,113.746,113.692,114.223,114.361,113.190,181.346,112.990,113.696
4.265,113.554,114.186,181.266,114.067,113.260,113.927,113.868,113.639,113.472,114.201,113.580,181.346,114.029,113.985
4.270,114.100,114.220,181.233,114.388,114.201,113.552,114.181,113.455,113.805,113.834,113.449,181.346,113.525,114.027
4.275,114.096,113.505,181.281,113.644,114.187,113.759,114.262,113.762,113.975,112.981,114.093,181.346,113.751,113.570
4.280,115.407,115.174,181.221,115.869,115.657,0.000,115.608,116.127,115.191,115.653,116.181,175.896,115.626,115.829
4.285,115.488,115.098,181.137,115.627,115.545,115.557,115.516,116.033,115.738,115.352,116.001,175.896,115.304,115.672
4.290,115.481,115.474,181.160,115.706,115.721,115.764,115.993,115.795,115.226,115.572,115.396,175.896,115.491,115.562
4.295,115.753,115.579,181.110,115.048,115.950,115.162,115.596,115.604,114.763,115.756,115.375,175.896,115.724,115.429
4.300,117.677,116.830,181.107,117.084,117.715,116.794,117.829,117.766,117.578,116.787,117.243,64.229,117.593,117.318
4.305,117.039,117.322,181.128,117.204,117.117,116.665,117.113,116.956,117.671,117.792,117.071,64.229,117.133,117.439
4.310,117.330,117.316,181.105,117.099,117.257,117.448,117.574,117.479,117.656,117.084,117.131,64.229,116.930,117.165
4.315,117.232,117.181,181.189,117.337,116.779,117.410,117.488,117.372,117.546,117.409,116.944,64.229,117.474,117.319
4.320,119.072,119.044,181.199,119.052,118.858,0.000,119.542,119.033,118.680,118.575,118.856,209.648,119.257,119.202
4.325,119.338,118.610,181.158,119.116,119.376,118.546,118.445,118.884,118.056,119.084,118.943,209.648,118.602,118.713
4.330,118.642,118.586,181.234,119.001,119.222,119.365,118.907,118.835,119.172,118.613,118.842,209.648,118.895,119.571
4.335,118.287,119.345,181.175,118.556,118.980,119.104,118.536,118.927,119.475,118.027,119.631,209.648,118.912,118.696
4.340,120.492,120.432,181.224,120.709,120.647,120.871,120.756,120.604,120.100,121.314,120.232,156.505,120.733,120.591
4.345,120.062,120.837,181.246,120.240,120.364,120.646,120.447,120.340,120.618,120.618,120.947,156.505,120.460,120.575
4.350,121.045,120.348,181.202,120.839,120.308,121.164,120.568,120.862,120.134,120.521,120.471,156.505,120.357,120.871
4.355,120.334,119.864,181.215,120.221,121.140,120.449,120.431,121.056,120.467,120.254,120.460,156.505,121.022,120.709
4.360,122.067,122.313,181.222,122.394,121.817,122.496,122.110,122.242,121.638,121.609,122.185,87.746,121.590,122.033
4.365,122.225,121.780,181.174,121.385,122.122,122.173,121.700,121.902,122.249,121.830,122.197,87.746,121.999,122.123
4.370,122.214,121.889,181.166,122.558,122.287,0.000,122.213,121.557,122.046,122.370,122.457,87.746,122.131,122.032
4.375,122.026,122.413,181.210,122.165,122.264,122.340,122.373,122.358,122.292,122.349,122.017,87.746,122.544,121.728
4.380,123.728,123.268,181.198,123.849,123.421,123.566,123.780,123.999,123.976,123.774,124.068,25.918,123.139,123.268
4.385,124.013,123.645,181.232,123.593,123.786,123.609,123.872,123.910,123.705,123.222,124.120,25.918,123.949,123.767
4.390,123.636,124.068,181.148,123.608,123.710,124.587,123.695,123.672,123.604,123.450,123.871,25.918,124.212,123.708
4.395,124.285,124.333,181.203,123.515,124.024,124.000,123.602,124.005,123.754,123.232,123.598,25.918,123.141,123.547
4.400,125.378,124.974,181.186,125.517,124.826,124.910,126.106,125.626,125.485,125.172,125.230,55.532,125.005,125.550
4.405,124.565,125.317,181.121,125.184,124.856,125.004,125.305,125.350,125.227,125.254,124.902,55.532,125.005,125.716
4.410,125.540,125.070,181.261,125.161,125.631,125.172,125.245,125.361,125.160,124.967,125.587,55.532,125.342,125.208
4.415,124.745,125.637,181.070,125.070,124.918,125.189,125.405,125.407,125.420,125.021,125.222,55.532,125.435,125.376
4.420,126.881,126.629,181.206,126.312,126.624,127.310,127.097,126.798,126.959,127.001,126.954,198.123,126.920,126.706
4.425,127.458,127.176,181.153,126.477,126.679,127.238,126.385,127.068,126.601,126.002,126.673,198.123,126.740,126.659
4.430,127.104,126.402,181.242,126.678,126.318,126.190,126.834,126.430,126.760,126.973,126.769,198.123,126.984,126.412
4.435,126.441,127.011,181.160,126.382,126.844,126.497,127.149,126.619,126.783,126.993,126.831,198.123,126.996,126.804
4.440,128.008,128.693,181.181,128.653,128.293,128.511,128.464,128.125,128.482,128.440,127.932,115.146,128.428,128.303
4.445,128.258,128.447,181.265,128.018,127.961,128.430,127.850,128.832,128.546,127.913,128.395,115.146,128.394,128.045
4.450,128.689,128.252,181.185,128.217,128.147,128.465,128.032,128.098,128.318,127.808,127.958,115.146,128.096,128.469
4.455,128.033,128.098,181.220,128.318,128.255,128.491,128.551,128.316,128.455,127.991,128.455,115.146,128.710,128.657
4.460,130.019,129.283,181.200,129.300,129.468,129.293,129.627,129.676,129.542,129.512,129.372,340.690,129.513,129.816
4.465,129.779,129.966,181.255,129.802,130.060,129.762,129.662,129.323,130.054,129.709,129.619,340.690,130.142,130.056
4.470,129.656,129.961,181.147,129.548,129.267,129.970,129.795,129.566,129.933,129.488,129.649,340.690,129.016,129.518
4.475,129.637,129.784,181.249,129.694,129.770,130.089,129.834,129.580,129.745,129.108,129.657,340.690,129.298,129.721
4.480,131.586,130.694,181.226,130.984,131.095,131.026,131.266,130.857,131.257,130.850,131.168,111.677,130.739,131.597
4.485,130.628,130.802,181.263,131.066,130.657,131.053,130.769,130.982,131.398,131.096,131.298,111.677,131.302,131.610
4.490,130.740,131.029,181.124,131.303,130.685,130.996,130.894,131.527,131.203,130.997,131.092,111.677,130.911,131.179
4.495,131.351,131.584,181.143,131.115,131.087,0.000,130.940,131.482,131.144,131.301,131.079,111.677,130.898,131.270
4.500,132.733,132.987,181.148,132.363,132.528,132.164,131.887,132.181,131.859,132.581,132.460,167.987,132.298,132.094
4.505,132.044,132.716,181.232,133.057,131.674,132.164,132.381,132.357,132.269,132.125,132.022,167.987,132.172,132.379
4.510,132.158,131.997,181.176,132.437,132.276,132.462,132.612,132.831,132.959,132.516,132.156,167.987,132.455,131.954
4.515,132.088,131.803,181.292,132.492,133.106,132.344,132.466,132.171,132.735,132.781,132.574,167.987,132.357,132.189
4.520,133.911,133.740,181.193,133.705,133.721,134.222,134.076,133.928,134.032,133.578,133.954,73.482,133.948,133.701
4.525,133.548,133.867,181.236,133.837,133.710,133.551,133.673,133.615,133.410,133.782,133.716,73.482,133.620,134.200
4.530,134.174,134.225,181.169,133.352,133.666,133.224,133.382,134.094,133.210,133.530,133.890,73.482,133.888,133.380
4.535,133.977,133.459,181.197,134.084,133.820,133.651,133.541,133.949,133.950,133.317,133.327,73.482,133.602,134.259
4.540,135.094,135.330,181.285,135.521,135.163,0.000,135.433,135.359,135.147,135.389,135.362,263.835,134.987,135.005
4.545,135.075,134.891,181.184,134.723,135.076,135.299,135.277,134.726,134.741,134.922,134.717,263.835,135.162,134.649
4.550,135.177,135.163,181.105,135.343,135.115,135.296,134.528,135.111,134.821,134.744,135.059,263.835,134.846,135.548
4.555,135.268,134.819,181.263,135.198,134.687,135.479,134.614,134.638,135.323,134.397,135.168,263.835,135.496,134.164
4.560,136.242,136.061,181.090,136.198,136.464,135.582,137.056,136.818,136.192,136.333,136.297,296.275,136.267,136.468
4.565,136.315,136.028,181.195,135.860,136.486,136.264,135.798,136.461,136.438,136.483,135.643,296.275,136.490,136.342
4.570,136.474,136.146,181.241,135.821,136.547,135.554,135.998,136.133,136.196,136.010,136.160,296.275,135.920,135.728
4.575,136.217,135.913,181.147,136.261,136.532,136.428,136.393,136.627,136.468,136.502,136.373,296.275,136.310,136.061
4.580,137.716,137.132,181.276,137.931,137.328,137.106,137.091,137.396,137.545,137.782,137.662,121.550,137.437,137.602
4.585,137.375,137.466,181.218,137.759,137.756,136.945,137.363,137.130,137.178,137.928,137.303,121.550,136.893,137.066
4.590,137.185,137.007,181.187,137.896,137.188,137.438,137.909,137.466,136.910,136.847,137.599,121.550,137.128,137.405
4.595,137.472,137.272,181.268,137.139,137.303,0.000,137.341,137.038,137.629,136.994,137.329,121.550,137.314,137.298
4.600,139.044,138.337,181.218,138.338,138.507,138.630,138.084,139.052,138.317,138.844,138.645,47.365,138.848,138.726
4.605,138.997,138.439,181.276,138.412,138.057,138.680,138.594,138.470,138.625,138.367,138.103,47.365,138.236,138.551
4.610,138.066,138.879,181.148,138.998,138.883,0.000,138.240,138.806,139.069,138.342,138.705,47.365,138.527,138.633
4.615,138.639,138.298,181.242,138.276,138.780,138.441,138.805,138.044,138.482,139.061,138.546,47.365,138.507,138.564
4.620,139.481,140.100,181.147,139.375,139.416,139.489,139.835,139.454,139.747,138.771,139.647,284.458,139.825,139.565
4.625,139.531,139.045,181.135,139.810,140.030,139.582,139.403,139.677,139.503,139.487,139.464,284.458,139.623,139.565
4.630,139.525,139.331,181.228,139.603,140.052,139.936,139.717,139.236,139.937,139.947,140.049,284.458,139.155,139.947
4.635,139.559,139.821,181.093,139.254,139.481,139.924,139.732,139.645,139.515,139.257,140.031,284.458,139.638,139.705
4.640,140.505,139.908,181.323,140.960,140.574,140.636,140.327,140.635,140.735,140.797,140.908,93.914,140.589,140.446
4.645,140.579,140.571,181.166,140.035,140.378,140.544,140.743,140.843,140.493,140.649,140.199,93.914,140.494,140.056
4.650,140.728,140.778,181.210,140.545,141.074,140.855,140.180,141.479,141.035,140.749,140.803,93.914,140.726,140.812
4.655,140.300,140.214,181.156,140.624,140.444,140.793,140.664,140.644,140.626,140.619,140.448,93.914,140.347,140.824
4.660,141.275,142.079,181.168,141.451,141.859,141.546,141.211,141.665,142.393,142.322,141.732,282.167,141.911,141.312
4.665,141.309,142.196,181.141,141.604,141.337,141.352,141.050,141.964,141.680,141.740,141.757,282.167,141.734,141.425
4.670,141.305,141.657,181.233,141.758,141.879,141.964,141.622,141.759,141.937,141.820,141.560,282.167,141.751,141.670
4.675,141.823,141.645,181.259,141.308,142.264,141.904,141.546,142.039,141.433,141.617,141.579,282.167,141.385,142.127
4.680,142.246,142.819,181.159,142.689,142.371,142.369,142.634,142.969,142.774,142.699,141.935,23.709,142.348,142.466
4.685,142.554,142.873,181.112,142.416,142.882,143.077,142.778,142.602,142.735,142.519,142.360,23.709,143.043,142.728
4.690,142.597,142.441,181.231,142.471,142.283,142.721,142.602,141.887,142.251,142.530,142.689,23.709,142.878,142.570
4.695,142.793,142.454,181.204,142.333,142.615,142.571,142.183,142.748,142.379,142.509,142.806,23.709,142.491,142.492
4.700,143.469,144.079,181.203,143.414,143.365,143.758,143.434,142.946,143.582,143.130,143.635,281.851,143.414,142.946
4.705,143.777,143.534,181.234,143.371,143.522,143.350,143.741,143.451,143.530,143.409,143.946,281.851,143.944,143.620
4.710,143.443,143.411,181.193,143.427,143.692,142.984,143.479,143.415,143.338,143.462,143.235,281.851,143.827,143.689
4.715,143.535,143.199,181.168,143.149,143.660,143.680,143.479,142.740,143.904,143.947,143.342,281.851,143.619,143.683
4.720,144.517,143.398,181.220,144.238,144.070,144.212,144.207,144.051,144.582,144.378,144.338,148.681,143.931,144.460
4.725,143.852,144.244,181.227,144.272,144.102,144.053,144.144,144.128,144.079,143.615,144.439,148.681,144.442,144.633
4.730,144.406,144.307,181.201,144.755,144.031,144.157,143.812,144.009,143.725,144.157,143.928,148.681,143.977,144.656
4.735,144.743,144.267,181.214,144.421,144.479,143.645,143.828,144.270,144.048,143.952,144.165,148.681,144.513,143.966
4.740,145.099,145.006,181.324,144.952,145.246,145.166,145.011,145.165,145.182,145.292,145.215,305.281,144.831,145.253
4.745,144.992,145.311,181.229,145.279,144.907,145.435,144.934,144.459,145.009,145.240,145.317,305.281,144.947,145.071
4.750,145.636,145.152,181.161,145.270,145.204,145.109,145.256,145.055,145.133,144.955,145.125,305.281,145.549,144.962
4.755,145.097,145.123,181.221,144.987,145.246,145.618,144.811,145.242,145.120,144.777,145.258,305.281,145.223,145.119
