t,x,y,z
9.33333,-0.000076,0.000759,0.998224
9.34722,-0.003148,-0.000000,0.999345
9.36111,0.000147,0.000984,0.999695
9.37500,0.001817,-0.000036,1.000198
9.38889,0.001283,0.000917,0.999903
9.40278,0.000227,-0.001099,0.999117
9.41667,0.000197,0.001269,0.999391
9.43056,0.001310,0.002969,1.003282
9.44444,0.000095,0.001644,1.000979
9.45833,0.001246,0.001326,1.000855
9.47222,0.001313,0.000361,0.999685
9.48611,0.000459,0.000821,1.001921
9.50000,0.000639,0.001198,1.002225
9.51389,-0.001320,-0.000311,1.000895
9.52778,0.000122,-0.001441,1.001570
9.54167,-0.000024,-0.001423,1.002930
9.55556,-0.001848,0.000058,0.999069
9.56944,0.000242,0.000924,0.998847
9.58333,-0.000082,-0.000123,0.998564
9.59722,0.001825,0.000330,0.999637
9.61111,-0.000932,-0.000434,1.000283
9.62500,-0.000626,0.001945,0.996242
9.63889,-0.003154,-0.000319,0.997293
9.65278,-0.000036,-0.000924,1.000939
9.66667,0.000688,0.002033,1.001450
9.68056,0.001952,0.000863,1.001672
9.69444,0.000821,-0.000820,0.998188
9.70833,-0.001752,0.000793,0.996483
9.72222,0.000332,-0.001063,1.001172
9.73611,0.000368,-0.001060,1.000089
9.75000,-0.003350,0.000473,1.000768
9.76389,-0.002695,0.001358,0.999890
9.77778,0.000329,-0.002064,1.000980
9.79167,0.000945,0.000050,0.998594
9.80556,0.001220,0.001949,1.000679
9.81944,0.001584,-0.000796,1.000318
9.83333,0.000654,0.000310,1.004330
9.84722,0.000731,-0.000739,1.001351
9.86111,-0.001521,0.000667,1.001273
9.87500,-0.000619,-0.000357,0.998717
9.88889,0.000327,-0.000882,1.002740
9.90278,0.001110,-0.000195,0.998017
9.91667,0.003201,0.002104,1.000860
9.93056,0.000449,0.000412,0.999452
9.94444,0.002979,0.000464,0.997996
9.95833,-0.000830,-0.003719,1.001146
9.97222,0.001304,0.002815,1.003307
9.98611,-0.001018,0.000830,1.001650
10.00000,0.001344,-0.000612,1.001357
10.01389,0.000894,0.002193,1.000104
10.02778,-0.000213,-0.000622,0.999574
10.04167,-0.001010,-0.000373,1.000890
10.05556,0.000824,0.002113,1.001774
10.06944,0.001068,-0.001603,1.000979
10.08333,0.001869,-0.001838,0.998440
10.09722,-0.001319,-0.001451,0.999672
10.11111,-0.001301,0.000682,0.998277
10.12500,-0.000097,-0.000657,0.998635
10.13889,0.001642,0.000130,1.000900
10.15278,-0.000414,0.001142,1.001008
10.16667,-0.000143,-0.002577,1.001317
10.18056,0.001125,0.000357,1.000450
10.19444,0.000272,0.000375,0.998578
10.20833,0.000003,0.000564,0.999168
10.22222,-0.001369,0.002876,1.000998
10.23611,-0.000373,-0.000652,0.996122
10.25000,-0.002051,-0.000287,1.002020
10.26389,-0.003000,-0.000963,1.002960
10.27778,0.001093,0.000710,1.001881
10.29167,-0.000091,-0.000177,1.001162
10.30556,0.001367,-0.001511,1.002382
10.31944,-0.002526,-0.000952,1.004704
10.33333,-0.000676,0.001076,0.998589
10.34722,-0.000388,-0.000988,0.999495
10.36111,0.001078,0.002718,1.001405
10.37500,0.002430,-0.000666,1.002294
10.38889,0.000941,0.002153,0.999467
10.40278,-0.000256,0.002143,1.001006
10.41667,0.000250,-0.000940,0.999934
10.43056,0.000810,0.001163,0.999244
10.44444,-0.000437,0.000714,0.998405
10.45833,0.001470,0.000045,0.999846
10.47222,-0.003579,-0.002360,0.998468
10.48611,-0.000857,-0.001634,1.000567
10.50000,0.000204,-0.000399,0.996948
10.51389,0.002097,-0.000418,1.000886
10.52778,-0.001007,-0.000004,1.001042
10.54167,0.000350,0.001439,0.999723
10.55556,0.002983,-0.002846,0.999165
10.56944,0.001462,-0.000386,0.999325
10.58333,-0.002673,0.001786,0.997140
10.59722,0.000747,0.000276,1.001296
10.61111,0.002170,-0.001074,0.998764
10.62500,-0.000499,-0.002603,1.001205
10.63889,-0.000625,0.000207,0.998272
10.65278,-0.000022,-0.000972,0.999845
10.66667,-0.001684,0.001491,0.998976
10.68056,-0.003882,0.000915,0.999496
10.69444,-0.001382,0.003701,0.999863
10.70833,-0.002068,-0.000984,1.000508
10.72222,-0.000402,0.001799,1.001532
10.73611,-0.001251,-0.000007,1.000899
10.75000,-0.000683,-0.000760,1.001256
10.76389,0.000613,-0.002167,0.999113
10.77778,-0.000683,-0.000241,0.998860
10.79167,0.001950,-0.001518,0.998308
10.80556,0.000253,-0.003443,0.998391
10.81944,0.000877,-0.002049,0.998672
10.83333,0.001570,0.000627,1.000028
10.84722,0.000310,-0.001070,1.000411
10.86111,-0.000356,0.003700,1.000760
10.87500,-0.000553,-0.000124,1.000037
10.88889,-0.002113,-0.001278,1.002250
10.90278,-0.002146,-0.000910,1.001498
10.91667,0.002231,-0.001571,1.002160
10.93056,-0.000577,0.002454,1.000722
10.94444,-0.000452,0.001067,1.000815
10.95833,-0.001184,0.003199,0.999461
10.97222,0.001707,-0.000750,0.997238
10.98611,-0.001705,-0.000172,1.001004
11.00000,0.002622,0.000102,0.999556
11.01389,-0.001865,-0.000089,1.000430
11.02778,-0.003342,0.001937,1.001686
11.04167,0.003395,-0.001388,1.000036
11.05556,0.000000,-0.002015,0.998699
11.06944,-0.001504,0.000746,1.000621
11.08333,0.001997,-0.000633,0.997873
11.09722,0.000630,0.000525,1.000970
11.11111,0.001840,-0.000910,1.001168
11.12500,-0.001540,0.000203,1.001004
11.13889,-0.000206,0.000295,0.997875
11.15278,-0.001009,0.000192,0.998160
11.16667,-0.001316,0.003619,1.000351
11.18056,-0.001278,-0.001594,1.002025
11.19444,-0.004264,-0.000612,1.000815
11.20833,-0.000983,0.000638,0.998270
11.22222,-0.000184,-0.000104,0.999848
11.23611,0.000044,-0.000120,1.001502
11.25000,-0.000578,-0.001069,0.999389
11.26389,-0.000646,-0.002479,0.996937
11.27778,-0.002226,0.000230,0.998801
11.29167,-0.000817,0.004107,1.001490
11.30556,-0.000515,-0.001148,1.001866
11.31944,-0.001373,0.001656,1.000682
11.33333,0.001879,-0.001289,1.001156
11.34722,-0.002922,-0.000463,1.001418
11.36111,0.000841,-0.002960,1.000824
11.37500,0.000477,-0.000304,0.998707
11.38889,-0.000631,-0.001071,1.001212
11.40278,0.000490,0.001395,1.000826
11.41667,-0.002134,-0.000005,1.003008
11.43056,-0.001877,0.000211,0.998618
11.44444,-0.001546,0.000107,1.001168
11.45833,0.000942,0.000483,1.001215
11.47222,-0.002658,0.001015,1.000394
11.48611,-0.000489,-0.000229,0.998505
11.50000,0.001535,-0.001345,0.997570
11.51389,-0.000224,-0.001085,0.999680
11.52778,0.002057,-0.000421,0.999972
11.54167,0.003192,-0.002320,1.000341
11.55556,0.001545,0.002069,1.003168
11.56944,-0.001195,0.000712,0.999654
11.58333,-0.000884,-0.001292,0.997599
11.59722,0.000303,0.000934,0.998203
11.61111,0.000948,-0.001030,0.998276
11.62500,-0.004148,0.001467,1.000885
11.63889,-0.000665,-0.000777,0.997846
11.65278,0.000588,-0.000287,1.000626
11.66667,0.000080,-0.002310,0.997466
11.68056,0.000450,-0.002732,1.000236
11.69444,0.001195,-0.002108,1.000854
11.70833,-0.000092,0.000655,0.998897
11.72222,-0.000163,0.000511,1.002635
11.73611,0.000988,0.000636,0.997929
11.75000,0.000396,-0.001133,0.999796
11.76389,0.000311,0.001374,1.000809
11.77778,0.000202,-0.000168,1.001971
11.79167,-0.001414,-0.000014,1.002008
11.80556,-0.000362,0.001186,1.001279
11.81944,0.002925,0.001644,0.997441
11.83333,-0.000066,0.000374,1.001178
11.84722,0.000510,0.002771,1.001582
11.86111,-0.001872,-0.001051,0.996781
11.87500,0.002511,-0.000305,0.999660
11.88889,-0.002526,-0.000813,1.000487
11.90278,-0.000786,-0.000779,0.998869
11.91667,0.002801,-0.001044,0.997580
11.93056,-0.001014,-0.000770,0.999609
11.94444,-0.000628,-0.001961,0.999425
11.95833,0.000311,-0.002409,1.002722
11.97222,0.002298,-0.003046,0.999153
11.98611,0.001246,0.001753,1.002428
